,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,High,Low,Open,Close,Volume,Adj Close
652,2018-08-06,0.46,0.23,-0.33,-0.29,-0.22,0.006999999999999999,0.324312032010703,254.1699981689453,249.7100067138672,251.58999633789062,254.02999877929688,5187700.0,252.38442993164062
653,2018-08-07,0.29,-0.05,-0.14,-0.33,-0.12,0.006999999999999999,0.328468236330058,257.70001220703125,254.9199981689453,256.0,256.95001220703125,6453300.0,255.2855224609375
654,2018-08-08,-0.04,-0.13,0.22,-0.07,-0.06,0.006999999999999999,0.331586131742826,260.239990234375,255.58999633789062,257.0,258.4200134277344,6552500.0,256.74603271484375
655,2018-08-09,-0.05,0.34,-0.32,0.06,-0.26,0.006999999999999999,0.3336660913652,259.25,256.1499938964844,259.1400146484375,256.4599914550781,5107000.0,254.79869079589844
656,2018-08-10,-0.6,0.34,-0.23,-0.27,0.25,0.006999999999999999,0.334708364104379,256.1000061035156,252.6999969482422,253.14999389648438,254.7899932861328,6409900.0,253.1394805908203
657,2018-08-13,-0.46,-0.22,-0.31,0.32,-0.01,0.006999999999999999,0.331873628324706,261.0,255.07000732421875,255.13999938964844,256.1199951171875,9380200.0,254.4608917236328
658,2018-08-14,0.69,0.31,0.23,0.36,0.2,0.006999999999999999,0.329276522480005,262.0,257.0199890136719,260.3800048828125,261.42999267578125,11655500.0,259.7364807128906
659,2018-08-15,-0.91,-0.53,-0.11,0.66,-0.11,0.006999999999999999,0.325888595353041,263.6400146484375,255.89999389648438,262.2699890136719,259.0799865722656,14778400.0,257.4017333984375
660,2018-08-16,0.86,-0.04,0.27,-0.08,0.4,0.006999999999999999,0.321709441513131,262.0,255.00999450683594,261.8999938964844,257.44000244140625,20031500.0,255.77230834960938
661,2018-08-17,0.3,0.12,0.04,0.19,0.15,0.006999999999999999,0.316738560844085,252.97000122070312,243.72999572753906,252.94000244140625,244.82000732421875,28579700.0,243.23410034179688
662,2018-08-20,0.25,0.15,0.18,0.09,0.15,0.006999999999999999,0.297085685027529,253.1999969482422,238.72000122070312,243.17999267578125,247.83999633789062,21359700.0,246.23452758789062
663,2018-08-21,0.33,0.9,0.14,-0.21,-0.22,0.006999999999999999,0.288798095932003,253.5,247.6999969482422,248.5,253.32000732421875,16849700.0,251.67901611328125
664,2018-08-22,0.05,0.3,-0.46,-0.51,-0.29,0.006999999999999999,0.279555385699765,263.0199890136719,251.86000061035156,252.0,262.82000732421875,18746400.0,261.1174621582031
665,2018-08-23,-0.19,-0.1,-0.32,0.0,-0.17,0.006999999999999999,0.269356448262654,269.4800109863281,260.70001220703125,261.260009765625,266.8399963378906,18017100.0,265.1114501953125
